epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,4.092187127685547,0.08366,3.7067840579986573,0.1216,0.09997532801828658,311.65164494514465
2,3.546642382888794,0.16596,3.34798477973938,0.1821,0.09990133642141358,271.8658449649811
3,3.1546853273010256,0.2498,2.939184745788574,0.2705,0.099778098230154,266.0158541202545
4,2.7863397760772703,0.32948,2.5951084060668945,0.3232,0.0996057350657239,266.63976073265076
5,2.4253726400756834,0.41738,2.3344670497894286,0.3843,0.09938441702975688,270.43465185165405
6,2.1191609838104246,0.4895,2.211383413696289,0.4217,0.09911436253643444,263.54283475875854
7,1.9138403939056396,0.54406,1.889368091583252,0.4846,0.09879583809693737,270.06305980682373
8,1.779712901687622,0.58346,1.7993574104309082,0.5043,0.09842915805643156,367.4786641597748
9,1.6730108927154541,0.61588,1.7743155185699462,0.5119,0.09801468428384716,372.2899889945984
10,1.5798371844482422,0.64514,1.847466350364685,0.4987,0.09755282581475769,369.2753059864044
11,1.519006347732544,0.66686,1.742206285095215,0.5326,0.09704403844771128,203.3711643218994
12,1.4535907176971437,0.68758,1.7141807455062865,0.5354,0.09648882429441258,182.16608476638794
13,1.403837790260315,0.70336,1.6422862775802611,0.5559,0.09588773128419906,167.80800318717957
14,1.3707922610473633,0.71444,1.5836075790405273,0.5597,0.09524135262330098,182.57028675079346
15,1.3289579920578003,0.72862,1.59272802734375,0.5595,0.0945503262094184,189.1962959766388
16,1.2984833910369873,0.73716,1.5514897371292113,0.5694,0.09381533400219319,217.80613899230957
17,1.268973006401062,0.7473,1.499577236175537,0.5904,0.0930371013501972,178.89728093147278
18,1.2369180612945556,0.75764,1.5563656133651733,0.5847,0.09221639627510078,153.1399049758911
19,1.2168485787200927,0.76572,1.526033868408203,0.5819,0.09135402871372812,153.23275899887085
20,1.192856939048767,0.77408,1.5054599824905395,0.5873,0.09045084971874741,156.15064811706543
21,1.1734583475494385,0.77826,1.5796020767211914,0.5739,0.08950775061878455,156.11825799942017
22,1.1547343412780762,0.7871,1.573239171218872,0.5769,0.08852566213878948,154.44341397285461
23,1.1169747311401368,0.79648,1.4674482540130616,0.6071,0.087505553481523,156.73047494888306
24,1.1096658568573,0.79872,1.4718499063491821,0.5975,0.0864484313710706,158.4744050502777
25,1.0798314093017578,0.8086,1.5048003574371338,0.5998,0.08535533905932739,156.0028269290924
26,1.0690674276351928,0.8129,1.496786160469055,0.6007,0.08422735529643445,172.43475103378296
27,1.051545799331665,0.81644,1.3966464431762695,0.6196,0.08306559326618261,168.10811185836792
28,1.0273888457489013,0.82264,1.514286894416809,0.5924,0.0818711994874345,162.76816201210022
29,1.0269076766967773,0.82342,1.4442845361709595,0.6061,0.08064535268264884,158.36940097808838
30,1.0062490379333495,0.82958,1.4303417734146118,0.6162,0.07938926261462369,154.85354375839233
31,0.9882327062606812,0.83732,1.4291615463256835,0.6195,0.07810416889260656,159.11767601966858
32,0.9753507270622254,0.83998,1.417649559020996,0.6156,0.07679133974894985,164.59656810760498
33,0.949118032951355,0.8471,1.4344539108276366,0.6186,0.07545207078751859,169.2673568725586
34,0.929160606842041,0.85152,1.3853127807617187,0.6265,0.07408768370508578,174.61336517333984
35,0.9125490516662598,0.85812,1.429265016555786,0.6239,0.07269952498697736,168.7155020236969
36,0.9032683617782593,0.86028,1.3475042638778687,0.6323,0.07128896457825365,173.80570697784424
37,0.8882753823852539,0.863,1.3645542778015136,0.638,0.06985739453173904,175.43797397613525
38,0.8621242600631713,0.87004,1.4248713047027588,0.6217,0.06840622763423393,173.74780988693237
39,0.8479888209915161,0.87282,1.3355293460845947,0.6344,0.0669368960122646,173.532781124115
40,0.8352946142578125,0.87728,1.2825695680618285,0.6495,0.0654508497187474,165.37656712532043
41,0.8072365890693665,0.88544,1.385089679336548,0.6351,0.0639495553019615,177.68407678604126
42,0.7886200276947022,0.88918,1.4309617458343507,0.6282,0.06243449435824276,174.8940668106079
43,0.7648825228691101,0.89388,1.4357240266799927,0.6265,0.060907162069827166,180.06036615371704
44,0.763556986656189,0.89438,1.3533122388839722,0.6422,0.059369065729286276,192.22629189491272
45,0.7343195732688904,0.90078,1.408358060646057,0.6323,0.057821723252011584,187.84657883644104
46,0.7107521946334839,0.90726,1.334019013595581,0.647,0.05626666167821526,180.49436116218567
47,0.7044977338027955,0.90936,1.301284384727478,0.6587,0.054705415665925745,179.16992497444153
48,0.6729382774543762,0.91534,1.287976482963562,0.6579,0.05313952597646571,189.49707293510437
49,0.6544707710647583,0.92128,1.2831493768692017,0.6594,0.051570537953906447,184.38876795768738
50,0.6322769835662841,0.92512,1.3707967851638794,0.6519,0.05000000000000003,305.61246395111084
51,0.607182405834198,0.931,1.3089610092163086,0.6669,0.048429462046093615,466.16115617752075
52,0.5825371872520447,0.93764,1.3750728649139405,0.6505,0.04686047402353436,176.13946413993835
53,0.5703501678085328,0.9375,1.3315417407989503,0.6577,0.04529458433407431,179.22955584526062
54,0.5465886297988891,0.9432,1.2916516446113586,0.6692,0.04373333832178482,218.56856298446655
55,0.5263076664543151,0.94686,1.334189731311798,0.6645,0.04217827674798848,232.37810611724854
56,0.492671595993042,0.95254,1.3033720790863037,0.6704,0.04063093427071379,220.5432629585266
57,0.4709187378311157,0.95684,1.2989748554229736,0.6761,0.03909283793017291,213.93024802207947
58,0.4494668950462341,0.9614,1.365079079055786,0.6625,0.03756550564175728,215.5020980834961
59,0.41974300146102905,0.9664,1.2641160894393921,0.6837,0.036050444698038565,224.82494688034058
60,0.3981865274620056,0.96974,1.3508223205566405,0.6737,0.03454915028125267,267.26106691360474
61,0.38580712537765505,0.97174,1.2578896869659424,0.6857,0.03306310398773545,253.6733889579773
62,0.35540653038978576,0.97484,1.3183008306503297,0.6788,0.03159377236576614,244.54069185256958
63,0.3240419462966919,0.97912,1.3106838640213012,0.6842,0.030142605468260985,237.27919697761536
64,0.2988128532791138,0.98224,1.2478795886993408,0.6921,0.028711035421746387,280.86798000335693
65,0.27593523278236387,0.98456,1.3143479328155518,0.683,0.02730047501302268,214.4990930557251
66,0.2469510216140747,0.9868,1.2620995442390441,0.6998,0.025912316294914247,232.60580897331238
67,0.22318688660144806,0.98936,1.2128317417144776,0.7104,0.024547929212481452,216.35578894615173
68,0.20406618572711946,0.99166,1.22448035697937,0.7069,0.023208660251050173,237.42880606651306
69,0.17208563446998595,0.99386,1.2178182815551757,0.7084,0.02189583110739348,185.03433918952942
70,0.16269443382263182,0.99492,1.1797883403778076,0.7171,0.020610737385376363,197.0492730140686
71,0.14291911861896514,0.99576,1.1744369562149048,0.7246,0.019354647317351183,206.0688819885254
72,0.11167513424873352,0.9972,1.1681645097732545,0.7224,0.018128800512565525,214.82790684700012
73,0.09302162480354309,0.99804,1.1205298172950744,0.732,0.016934406733817426,201.8643078804016
74,0.07818339476585388,0.99832,1.1381866094589232,0.7275,0.015772644703565576,195.2128930091858
75,0.06327510779619216,0.99882,1.0872536851882935,0.7386,0.014644660940672639,200.43329572677612
76,0.05095093086719513,0.99894,1.0558384490966797,0.7447,0.013551568628929445,224.70596885681152
77,0.04404887713432312,0.99928,1.0529941480636598,0.747,0.01249444651847703,209.90981197357178
78,0.0351967080116272,0.99938,1.0222252486228942,0.7547,0.011474337861210552,216.6514129638672
79,0.02716114886403084,0.99948,1.0081670040130615,0.7524,0.010492249381215488,201.65789198875427
80,0.023410184005498887,0.9996,0.9939386643409729,0.7562,0.00954915028125264,190.1349799633026
81,0.021509427126646042,0.9994,0.9919237857818604,0.757,0.00864597128627192,206.0247848033905
82,0.018926344382166862,0.99952,0.9784142742156983,0.7602,0.007783603724899262,226.0630521774292
83,0.01713443112552166,0.99952,0.9639755609512329,0.7626,0.006962898649802817,195.18295884132385
84,0.016294643399715425,0.99964,0.9578697362899781,0.7643,0.006184665997806825,206.51026129722595
85,0.015142855626344681,0.99952,0.9476448755264282,0.764,0.005449673790581614,204.21504306793213
86,0.014546666880846024,0.99948,0.9428910618782044,0.7649,0.004758647376699035,209.25723004341125
87,0.013643098568320274,0.9996,0.941177223110199,0.7685,0.004112268715800957,207.69828510284424
88,0.013244701724648476,0.99968,0.9318903466224671,0.7677,0.003511175705587435,208.37266516685486
89,0.013026057142019272,0.99962,0.9357508783340454,0.7669,0.0029559615522887295,209.68921613693237
90,0.012182221990227698,0.99968,0.9283567326545715,0.7689,0.0024471741852423253,224.09897685050964
91,0.011919476407766342,0.9996,0.9314195321083069,0.7671,0.0019853157161528537,211.7920000553131
92,0.011896565306782722,0.9997,0.9253272731781006,0.7703,0.0015708419435684529,214.12985968589783
